,L1_all_to_all,L1_linear,L2_all_to_all,L2_all_to_all_re_upload,L2_linear,L2_re_upload
L1_all_to_all,1.0,0.10145381261420756,0.16578668398105822,0.6142946646634823,0.4496917979688907,0.0322096856737104
L1_linear,0.10145381261420756,1.0,0.8010593708697095,0.25683925795785656,0.377821637100064,0.6142946646634823
L2_all_to_all,0.16578668398105822,0.8010593708697095,1.0,0.377821637100064,0.5287333251214302,0.4496917979688907
L2_all_to_all_re_upload,0.6142946646634823,0.25683925795785656,0.377821637100064,1.0,0.8010593708697095,0.10145381261420756
L2_linear,0.4496917979688907,0.377821637100064,0.5287333251214302,0.8010593708697095,1.0,0.16578668398105822
L2_re_upload,0.0322096856737104,0.6142946646634823,0.4496917979688907,0.10145381261420756,0.16578668398105822,1.0
