,L1_all_to_all,L1_linear,L2_all_to_all,L2_all_to_all_re_upload,L2_linear,L2_re_upload
L1_all_to_all,1.0,0.41283033237814337,0.9497712193634843,0.850106739138526,0.7054569861112736,0.18587673236587576
L1_linear,0.41283033237814337,1.0,0.377821637100064,0.31349994558358807,0.2313504077741384,0.6142946646634823
L2_all_to_all,0.9497712193634843,0.377821637100064,1.0,0.8997412986871713,0.7527841326498471,0.16578668398105822
L2_all_to_all_re_upload,0.850106739138526,0.31349994558358807,0.8997412986871713,1.0,0.850106739138526,0.1305700181157362
L2_linear,0.7054569861112736,0.2313504077741384,0.7527841326498471,0.850106739138526,1.0,0.08897301170181333
L2_re_upload,0.18587673236587576,0.6142946646634823,0.16578668398105822,0.1305700181157362,0.08897301170181333,1.0
