dataset,configuration,seed,model,batch_frac,n_layers,entangle,encoding_strategy,n_qubits,n_params,cnot_count,attribute,spd,eod,aod,trace_distance_input,qsp_diff_output,is_bias_pair_candidate
german_credit,L2_linear,7,XGBoost_stub,0.25,2,linear,single,9,36,16,overall,-0.0550911854103344,0.0146520146520146,-0.0728043976156536,0.223431858253215,0.0056946970031382,False
german_credit,L2_linear,7,MLP,0.25,2,linear,single,9,36,16,age,0.0,0.0,0.0,0.223431858253215,0.0056946970031382,False
german_credit,L2_linear,7,MLP,0.25,2,linear,single,9,36,16,sex,0.0,0.0,0.0,0.223431858253215,0.0056946970031382,False
german_credit,L2_linear,7,MLP,0.25,2,linear,single,9,36,16,overall,0.0,0.0,0.0,0.223431858253215,0.0056946970031382,False
german_credit,L2_linear,17,RandomForest,0.25,2,linear,single,9,36,16,age,-0.0672412391251321,-0.1091954022988506,-0.0532448872966114,0.1680088357279708,0.0427523906137305,False
german_credit,L2_linear,17,RandomForest,0.25,2,linear,single,9,36,16,sex,-0.0610788646892805,-0.072517006802721,-0.0483486673357867,0.1680088357279708,0.0427523906137305,False
german_credit,L2_linear,17,RandomForest,0.25,2,linear,single,9,36,16,overall,-0.07959726443769,-0.0932539682539682,-0.0652690563404849,0.1680088357279708,0.0427523906137305,False
german_credit,L2_linear,17,XGBoost_stub,0.25,2,linear,single,9,36,16,age,0.1435889096674527,0.0767816091954023,0.1652847439916405,0.1680088357279708,0.0427523906137305,False
german_credit,L2_linear,17,XGBoost_stub,0.25,2,linear,single,9,36,16,sex,0.1078864689280579,0.1876190476190476,0.1022111631537861,0.1680088357279708,0.0427523906137305,False
german_credit,L2_linear,17,XGBoost_stub,0.25,2,linear,single,9,36,16,overall,0.1001139817629179,0.1604808590102708,0.0955465519541149,0.1680088357279708,0.0427523906137305,False
german_credit,L2_linear,17,MLP,0.25,2,linear,single,9,36,16,age,-0.0169119440604927,0.0114942528735632,-0.009945514255859,0.1680088357279708,0.0427523906137305,False
german_credit,L2_linear,17,MLP,0.25,2,linear,single,9,36,16,sex,-0.0100111827040843,0.0133333333333333,-0.0062431693989071,0.1680088357279708,0.0427523906137305,False
german_credit,L2_linear,17,MLP,0.25,2,linear,single,9,36,16,overall,-0.0144376899696048,0.0147058823529411,-0.0142326161233724,0.1680088357279708,0.0427523906137305,False
german_credit,L2_linear,27,RandomForest,0.25,2,linear,single,9,36,16,age,0.1504187332303439,0.1478701825557809,0.1538733628828287,0.3743358869845613,0.0190774266321689,False
german_credit,L2_linear,27,RandomForest,0.25,2,linear,single,9,36,16,sex,0.077213909153842,0.0212121212121212,0.1005972809748051,0.3743358869845613,0.0190774266321689,False
german_credit,L2_linear,27,RandomForest,0.25,2,linear,single,9,36,16,overall,0.1092325227963525,0.0686733556298773,0.1287633017122923,0.3743358869845613,0.0190774266321689,False
german_credit,L2_linear,27,XGBoost_stub,0.25,2,linear,single,9,36,16,age,0.2828685258964143,0.2705882352941176,0.2896151053013798,0.3743358869845613,0.0190774266321689,False
german_credit,L2_linear,27,XGBoost_stub,0.25,2,linear,single,9,36,16,sex,0.1927152670536237,0.1686868686868687,0.2044048917622227,0.3743358869845613,0.0190774266321689,False
german_credit,L2_linear,27,XGBoost_stub,0.25,2,linear,single,9,36,16,overall,0.2494300911854103,0.2207357859531772,0.2651393444601492,0.3743358869845613,0.0190774266321689,False
german_credit,L2_linear,27,MLP,0.25,2,linear,single,9,36,16,age,0.0,0.0,0.0,0.3743358869845613,0.0190774266321689,False
german_credit,L2_linear,27,MLP,0.25,2,linear,single,9,36,16,sex,0.0,0.0,0.0,0.3743358869845613,0.0190774266321689,False
german_credit,L2_linear,27,MLP,0.25,2,linear,single,9,36,16,overall,0.0,0.0,0.0,0.3743358869845613,0.0190774266321689,False
german_credit,L1_all_to_all,7,RandomForest,0.25,1,all_to_all,single,9,18,36,age,0.1006535947712418,0.1347338935574229,0.1193277310924369,0.3601216301732179,0.0060146411248267,False
german_credit,L1_all_to_all,7,RandomForest,0.25,1,all_to_all,single,9,18,36,sex,0.1425585284280936,0.1612433862433862,0.1411239762267159,0.3601216301732179,0.0060146411248267,False
german_credit,L1_all_to_all,7,RandomForest,0.25,1,all_to_all,single,9,18,36,overall,0.1571048632218845,0.184004884004884,0.1601218654753315,0.3601216301732179,0.0060146411248267,False
german_credit,L1_all_to_all,7,XGBoost_stub,0.25,1,all_to_all,single,9,18,36,age,0.188235294117647,0.1647058823529411,0.2,0.3601216301732179,0.0060146411248267,False
german_credit,L1_all_to_all,7,XGBoost_stub,0.25,1,all_to_all,single,9,18,36,sex,0.1523829431438127,0.1821428571428571,0.1451049141117634,0.3601216301732179,0.0060146411248267,False
german_credit,L1_all_to_all,7,XGBoost_stub,0.25,1,all_to_all,single,9,18,36,overall,0.184080547112462,0.1989010989010989,0.1859296160257038,0.3601216301732179,0.0060146411248267,False
german_credit,L1_all_to_all,7,MLP,0.25,1,all_to_all,single,9,18,36,age,0.0,0.0,0.0,0.3601216301732179,0.0060146411248267,False
german_credit,L1_all_to_all,7,MLP,0.25,1,all_to_all,single,9,18,36,sex,0.0,0.0,0.0,0.3601216301732179,0.0060146411248267,False
german_credit,L1_all_to_all,7,MLP,0.25,1,all_to_all,single,9,18,36,overall,0.0,0.0,0.0,0.3601216301732179,0.0060146411248267,False
german_credit,L1_all_to_all,17,RandomForest,0.25,1,all_to_all,single,9,18,36,age,0.0864297910399219,-0.0878160919540229,0.0932672786983132,0.0362931082040149,0.0444004695008941,False
german_credit,L1_all_to_all,17,RandomForest,0.25,1,all_to_all,single,9,18,36,sex,0.0395654720698652,0.0410884353741496,0.0281261849001895,0.0362931082040149,0.0444004695008941,False
german_credit,L1_all_to_all,17,RandomForest,0.25,1,all_to_all,single,9,18,36,overall,0.0543313069908814,0.0121381886087769,0.0580706641631011,0.0362931082040149,0.0444004695008941,False
german_credit,L1_all_to_all,17,XGBoost_stub,0.25,1,all_to_all,single,9,18,36,age,0.0631758679567444,0.1080459770114942,0.0697156291983878,0.0362931082040149,0.0444004695008941,False
german_credit,L1_all_to_all,17,XGBoost_stub,0.25,1,all_to_all,single,9,18,36,sex,-0.0001597529154907,-0.004625850340136,0.0105969108955056,0.0362931082040149,0.0444004695008941,False
german_credit,L1_all_to_all,17,XGBoost_stub,0.25,1,all_to_all,single,9,18,36,overall,0.0131079027355622,0.0313958916900093,0.0174640368968099,0.0362931082040149,0.0444004695008941,False
german_credit,L1_all_to_all,17,MLP,0.25,1,all_to_all,single,9,18,36,age,-0.0129278803154728,0.0114942528735632,-0.0034520077623525,0.0362931082040149,0.0444004695008941,False
german_credit,L1_all_to_all,17,MLP,0.25,1,all_to_all,single,9,18,36,sex,-0.0052718462111933,0.0133333333333333,0.0019535519125683,0.0362931082040149,0.0444004695008941,False
