,L1_all_to_all,L1_linear,L2_all_to_all,L2_all_to_all_re_upload,L2_linear,L2_re_upload
L1_all_to_all,1.0,0.9497712193634843,0.7054569861112732,0.4496917979688909,0.7527841326498471,0.8997412986871713
L1_linear,0.9497712193634843,1.0,0.6592430036926307,0.4883504271844812,0.7054569861112736,0.850106739138526
L2_all_to_all,0.7054569861112732,0.6592430036926307,1.0,0.25683925795785656,0.949771219363484,0.8010593708697095
L2_all_to_all_re_upload,0.4496917979688909,0.4883504271844812,0.25683925795785656,1.0,0.2842146925863076,0.377821637100064
L2_linear,0.7527841326498471,0.7054569861112736,0.949771219363484,0.2842146925863076,1.0,0.850106739138526
L2_re_upload,0.8997412986871713,0.850106739138526,0.8010593708697095,0.377821637100064,0.850106739138526,1.0
