,L1_all_to_all,L1_linear,L2_all_to_all,L2_all_to_all_re_upload,L2_linear,L2_re_upload
L1_all_to_all,1.0,0.7054569861112736,0.5287333251214302,0.032209685673710464,0.6142946646634826,0.6142946646634826
L1_linear,0.7054569861112736,1.0,0.8010593708697095,0.07775989643932948,0.8997412986871713,0.8997412986871713
L2_all_to_all,0.5287333251214302,0.8010593708697095,1.0,0.1305700181157363,0.8997412986871713,0.8997412986871713
L2_all_to_all_re_upload,0.032209685673710464,0.07775989643932948,0.1305700181157363,1.0,0.1014538126142077,0.1014538126142077
L2_linear,0.6142946646634826,0.8997412986871713,0.8997412986871713,0.1014538126142077,1.0,1.0
L2_re_upload,0.6142946646634826,0.8997412986871713,0.8997412986871713,0.1014538126142077,1.0,1.0
