,,,f1,f1,accuracy,accuracy
,,,mean,std,mean,std
dataset,configuration,model,,,,
german_credit,L1_all_to_all,MLP,0.5316100109770955,0.4438415466090682,0.54,0.19099156467702386
german_credit,L1_all_to_all,RandomForest,0.4388083262623892,0.20676834551369913,0.4566666666666666,0.0976956725983523
german_credit,L1_all_to_all,XGBoost_stub,0.5620359623921038,0.2852305489197053,0.5299999999999999,0.12197449642354652
german_credit,L1_linear,MLP,0.5467051309109251,0.4177027987893825,0.5411111111111111,0.18907180685694033
german_credit,L1_linear,RandomForest,0.4338458798009208,0.34689327239106865,0.4755555555555555,0.12303266654444678
german_credit,L1_linear,XGBoost_stub,0.5047504294652178,0.058078011711859105,0.47,0.02000000000000001
german_credit,L2_all_to_all,MLP,0.5407760785543779,0.427969462246657,0.54,0.19099156467702386
german_credit,L2_all_to_all,RandomForest,0.5031538525101489,0.24800399626419456,0.5033333333333333,0.10867893591267407
german_credit,L2_all_to_all,XGBoost_stub,0.5532100866618914,0.2781349969678277,0.5222222222222223,0.11720510670204194
german_credit,L2_all_to_all_re_upload,MLP,0.6500525225291477,0.2387859948696547,0.57,0.13920408678547402
german_credit,L2_all_to_all_re_upload,RandomForest,0.5939106751585821,0.21617756390511875,0.5255555555555556,0.10521582756586752
german_credit,L2_all_to_all_re_upload,XGBoost_stub,0.5301400384181109,0.17815060757311912,0.48888888888888893,0.10024045165574703
german_credit,L2_linear,MLP,0.5316409783993672,0.4437879225263415,0.5411111111111111,0.18907180685694033
german_credit,L2_linear,RandomForest,0.5163483063908294,0.2501999492940664,0.49222222222222217,0.11548609023184148
german_credit,L2_linear,XGBoost_stub,0.462321845655179,0.10604377103485313,0.4477777777777778,0.0374660340001941
german_credit,L2_re_upload,MLP,0.5840232839786038,0.35308689132089505,0.5488888888888889,0.1756364089479973
german_credit,L2_re_upload,RandomForest,0.4602049897424907,0.2216236890061757,0.46444444444444444,0.1040477098543064
german_credit,L2_re_upload,XGBoost_stub,0.451359080200236,0.2105618700516053,0.46,0.08666666666666671
