,L1_all_to_all,L1_linear,L2_all_to_all,L2_all_to_all_re_upload,L2_linear,L2_re_upload
L1_all_to_all,1.0,0.41283033237814337,0.6142946646634826,0.2842146925863076,0.850106739138526,0.9497712193634843
L1_linear,0.41283033237814337,1.0,0.7527841326498468,0.8010593708697098,0.5287333251214298,0.4496917979688907
L2_all_to_all,0.6142946646634826,0.7527841326498468,1.0,0.5707503880581739,0.7527841326498471,0.6592430036926307
L2_all_to_all_re_upload,0.2842146925863076,0.8010593708697098,0.5707503880581739,1.0,0.377821637100064,0.31349994558358807
L2_linear,0.850106739138526,0.5287333251214298,0.7527841326498471,0.377821637100064,1.0,0.8997412986871713
L2_re_upload,0.9497712193634843,0.4496917979688907,0.6592430036926307,0.31349994558358807,0.8997412986871713,1.0
