,L1_all_to_all,L1_linear,L2_all_to_all,L2_all_to_all_re_upload,L2_linear,L2_re_upload
L1_all_to_all,1.0,0.31349994558358774,0.5287333251214302,0.34470422200695783,0.7054569861112736,0.5707503880581739
L1_linear,0.31349994558358774,1.0,0.10145381261420756,0.9497712193634835,0.16578668398105822,0.6592430036926303
L2_all_to_all,0.5287333251214302,0.10145381261420756,1.0,0.11529061707139372,0.8010593708697095,0.2313504077741384
L2_all_to_all_re_upload,0.34470422200695783,0.9497712193634835,0.11529061707139372,1.0,0.1858767323658761,0.7054569861112736
L2_linear,0.7054569861112736,0.16578668398105822,0.8010593708697095,0.1858767323658761,1.0,0.34470422200695783
L2_re_upload,0.5707503880581739,0.6592430036926303,0.2313504077741384,0.7054569861112736,0.34470422200695783,1.0
