,L1_all_to_all,L1_linear,L2_all_to_all,L2_all_to_all_re_upload,L2_linear,L2_re_upload
L1_all_to_all,1.0,0.25683925795785656,0.6142946646634826,0.31349994558358774,0.5707503880581739,0.6592430036926307
L1_linear,0.25683925795785656,1.0,0.1014538126142077,0.8997412986871718,0.08897301170181333,0.4883504271844812
L2_all_to_all,0.6142946646634826,0.1014538126142077,1.0,0.1305700181157362,0.949771219363484,0.34470422200695783
L2_all_to_all_re_upload,0.31349994558358774,0.8997412986871718,0.1305700181157362,1.0,0.11529061707139349,0.5707503880581737
L2_linear,0.5707503880581739,0.08897301170181333,0.949771219363484,0.11529061707139349,1.0,0.31349994558358807
L2_re_upload,0.6592430036926307,0.4883504271844812,0.34470422200695783,0.5707503880581737,0.31349994558358807,1.0
