,L1_all_to_all,L1_linear,L2_all_to_all,L2_all_to_all_re_upload,L2_linear,L2_re_upload
L1_all_to_all,1.0,0.5126907602619235,1.0,0.1904302638255242,0.27523352407483437,0.8272593465627115
L1_linear,0.5126907602619235,1.0,0.5126907602619235,0.5126907602619235,0.6625205835400574,0.6625205835400576
L2_all_to_all,1.0,0.5126907602619235,1.0,0.1904302638255242,0.27523352407483437,0.8272593465627115
L2_all_to_all_re_upload,0.1904302638255242,0.5126907602619235,0.1904302638255242,1.0,0.8272593465627115,0.27523352407483437
L2_linear,0.27523352407483437,0.6625205835400574,0.27523352407483437,0.8272593465627115,1.0,0.38273308888522595
L2_re_upload,0.8272593465627115,0.6625205835400576,0.8272593465627115,0.27523352407483437,0.38273308888522595,1.0
