dataset,configuration,model,attribute,metric,n,statistic,p_value,note
german_credit,L1_linear,MLP,overall,spd,3,0.75,0.0,descriptive only; n<8
german_credit,L1_linear,MLP,overall,eod,3,0.75,0.0,descriptive only; n<8
german_credit,L1_linear,MLP,overall,aod,3,0.75,0.0,descriptive only; n<8
german_credit,L1_linear,MLP,overall,trace_distance_input,3,0.7824274757208429,0.07320365809675677,descriptive only; n<8
german_credit,L1_linear,MLP,overall,qsp_diff_output,3,0.886310013224654,0.3431625244032638,descriptive only; n<8
german_credit,L1_linear,MLP,sex,spd,3,0.75,0.0,descriptive only; n<8
german_credit,L1_linear,MLP,sex,eod,3,0.75,0.0,descriptive only; n<8
german_credit,L1_linear,MLP,sex,aod,3,0.75,0.0,descriptive only; n<8
german_credit,L1_linear,MLP,sex,trace_distance_input,3,0.7824274757208429,0.07320365809675677,descriptive only; n<8
german_credit,L1_linear,MLP,sex,qsp_diff_output,3,0.886310013224654,0.3431625244032638,descriptive only; n<8
german_credit,L1_linear,RandomForest,age,spd,3,0.999453479226719,0.9553476540138076,descriptive only; n<8
german_credit,L1_linear,RandomForest,age,eod,3,0.9908373310446543,0.816904432291581,descriptive only; n<8
german_credit,L1_linear,RandomForest,age,aod,3,0.9937299769592752,0.8486122157893264,descriptive only; n<8
german_credit,L1_linear,RandomForest,age,trace_distance_input,3,0.7824274757208429,0.07320365809675677,descriptive only; n<8
german_credit,L1_linear,RandomForest,age,qsp_diff_output,3,0.886310013224654,0.3431625244032638,descriptive only; n<8
german_credit,L1_linear,RandomForest,overall,spd,3,0.899080345683437,0.382580308979509,descriptive only; n<8
german_credit,L1_linear,RandomForest,overall,eod,3,0.8086639918505119,0.13535451941042076,descriptive only; n<8
german_credit,L1_linear,RandomForest,overall,aod,3,0.9148495634909277,0.43446405777252817,descriptive only; n<8
german_credit,L1_linear,RandomForest,overall,trace_distance_input,3,0.7824274757208429,0.07320365809675677,descriptive only; n<8
german_credit,L1_linear,RandomForest,overall,qsp_diff_output,3,0.886310013224654,0.3431625244032638,descriptive only; n<8
german_credit,L1_linear,RandomForest,sex,spd,3,0.8126659695770833,0.14510925089311777,descriptive only; n<8
german_credit,L1_linear,RandomForest,sex,eod,3,0.9466651448690405,0.55491266184082,descriptive only; n<8
german_credit,L1_linear,RandomForest,sex,aod,3,0.7603270568930297,0.022935639840192312,descriptive only; n<8
german_credit,L1_linear,RandomForest,sex,trace_distance_input,3,0.7824274757208429,0.07320365809675677,descriptive only; n<8
german_credit,L1_linear,RandomForest,sex,qsp_diff_output,3,0.886310013224654,0.3431625244032638,descriptive only; n<8
german_credit,L1_linear,XGBoost_stub,age,spd,3,0.9008496188833683,0.38821125588192784,descriptive only; n<8
german_credit,L1_linear,XGBoost_stub,age,eod,3,0.9246086332489548,0.46877727948197356,descriptive only; n<8
german_credit,L1_linear,XGBoost_stub,age,aod,3,0.8720021334334779,0.30122740238032497,descriptive only; n<8
german_credit,L1_linear,XGBoost_stub,age,trace_distance_input,3,0.7824274757208429,0.07320365809675677,descriptive only; n<8
german_credit,L1_linear,XGBoost_stub,age,qsp_diff_output,3,0.886310013224654,0.3431625244032638,descriptive only; n<8
german_credit,L1_linear,XGBoost_stub,overall,spd,3,0.9413407387805922,0.5327923291222352,descriptive only; n<8
german_credit,L1_linear,XGBoost_stub,overall,eod,3,0.876179871317458,0.313253360323011,descriptive only; n<8
german_credit,L1_linear,XGBoost_stub,overall,aod,3,0.9586921241612397,0.6091103966706033,descriptive only; n<8
german_credit,L1_linear,XGBoost_stub,overall,trace_distance_input,3,0.7824274757208429,0.07320365809675677,descriptive only; n<8
german_credit,L1_linear,XGBoost_stub,overall,qsp_diff_output,3,0.886310013224654,0.3431625244032638,descriptive only; n<8
