,,,,spd,spd,eod,eod,aod,aod,trace_distance_input,trace_distance_input,qsp_diff_output,qsp_diff_output
,,,,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,configuration,model,attribute,,,,,,,,,,
german_credit,L1_all_to_all,MLP,age,-0.004309293438490933,0.0074639151801894855,0.0038314176245210665,0.0066362099906853425,-0.0011506692541175,0.0019930176108388935,0.15024015620022924,0.18198568206265442,0.018815209795693233,0.022157486289328194
german_credit,L1_all_to_all,MLP,overall,-0.0030395136778115332,0.005264592120270114,0.0049019607843137,0.00849044513514151,-0.0015390771693292666,0.0026657598540475776,0.15024015620022924,0.18198568206265442,0.018815209795693233,0.022157486289328194
german_credit,L1_all_to_all,MLP,sex,-0.0017572820703977666,0.0030437018291587605,0.004444444444444433,0.007698003589194991,0.0006511839708561,0.0011278837225972163,0.15024015620022924,0.18198568206265442,0.018815209795693233,0.022157486289328194
german_credit,L1_all_to_all,RandomForest,age,0.12231180210021146,0.05033623642426509,0.10049389870890886,0.1737391628864293,0.12512359473763573,0.035114836906829136,0.15024015620022924,0.18198568206265442,0.018815209795693233,0.022157486289328194
german_credit,L1_all_to_all,RandomForest,overall,0.12677304964539002,0.06301218580805086,0.12279462509641537,0.09601163265192225,0.1297723135331069,0.062338662911349575,0.15024015620022924,0.18198568206265442,0.018815209795693233,0.022157486289328194
german_credit,L1_all_to_all,RandomForest,sex,0.11985207954543493,0.07168332032063592,0.11563417622941426,0.06509450950306007,0.12067865121460723,0.08421226205999738,0.15024015620022924,0.18198568206265442,0.018815209795693233,0.022157486289328194
german_credit,L1_all_to_all,XGBoost_stub,age,0.15261690333503913,0.07799117143227673,0.1291187739463601,0.030993308091407427,0.1657960769353602,0.08435065232668526,0.15024015620022924,0.18198568206265442,0.018815209795693233,0.022157486289328194
german_credit,L1_all_to_all,XGBoost_stub,overall,0.13589159067882464,0.10715032318221096,0.14763151265708807,0.10089567811079256,0.1366443346661058,0.10372631212470805,0.15024015620022924,0.18198568206265442,0.018815209795693233,0.022157486289328194
