dataset,configuration,spearman_rho_7_17,spearman_p_7_17,spearman_rho_7_27,spearman_p_7_27,spearman_rho_17_27,spearman_p_17_27,mean_rho
heart_disease,L1_all_to_all,-0.18518518518518517,0.585661784564351,0.18518518518518517,0.585661784564351,-1.0,0.0,-0.3333333333333333
heart_disease,L1_linear,0.628614493739009,0.03830503659426573,0.16389594928989476,0.6301356992661649,0.02564443972048842,0.9403401591855325,0.27271829424979743
heart_disease,L2_all_to_all,0.5791078083211593,0.06191783639720148,0.5626240433067091,0.07157196819255453,0.2180999027225083,0.5194090449532383,0.45327725145012554
heart_disease,L2_all_to_all_re_upload,0.19571956962109066,0.5641111595643952,0.36266839800857187,0.2730113037155675,0.8719151695836699,0.00046724452450967225,0.4767677124044442
heart_disease,L2_linear,-0.29090909090909095,0.38545696969136556,0.3181818181818182,0.34029761418190363,-0.11818181818181818,0.72928477951978,-0.030303030303030318
heart_disease,L2_re_upload,0.30000000000000004,0.37008312228206786,0.20909090909090913,0.5372209352113229,0.8363636363636365,0.0013331850799508562,0.44848484848484854
