,L1_all_to_all,L1_linear,L2_all_to_all,L2_all_to_all_re_upload,L2_linear,L2_re_upload
L1_all_to_all,1.0,0.13876884678935297,0.29246809625552006,0.04477600479048356,0.07565555213290058,0.8435258690926944
L1_linear,0.13876884678935297,1.0,0.6688924125416393,0.598637160237303,0.7671703139827022,0.09339067572681037
L2_all_to_all,0.29246809625552006,0.6688924125416393,1.0,0.3400684784067791,0.4692211560417393,0.21126001728480437
L2_all_to_all_re_upload,0.04477600479048356,0.598637160237303,0.3400684784067791,1.0,0.8178717972514384,0.027514627912890256
L2_linear,0.07565555213290058,0.7671703139827022,0.4692211560417393,0.8178717972514384,1.0,0.04839822318129826
L2_re_upload,0.8435258690926944,0.09339067572681037,0.21126001728480437,0.027514627912890256,0.04839822318129826,1.0
