dataset,configuration,gate_group,metric,n,statistic,p_value,note
student_performance,L2_linear,qubit_8_rot,svqx_value,3,0.9979723438643642,0.9139708946254358,descriptive only; n<8
student_performance,L2_linear,qubit_9_rot,svqx_value,3,0.7686984955407064,0.04177693228852464,descriptive only; n<8
student_performance,L2_re_upload,entangling_CNOT,svqx_value,3,0.9065604493056935,0.40669970164906755,descriptive only; n<8
student_performance,L2_re_upload,qubit_0_rot,svqx_value,3,0.9381252082044607,0.5198884863551847,descriptive only; n<8
student_performance,L2_re_upload,qubit_1_rot,svqx_value,3,0.9999622335034395,0.9882629903712503,descriptive only; n<8
student_performance,L2_re_upload,qubit_2_rot,svqx_value,3,0.924161658365918,0.4671628283106808,descriptive only; n<8
student_performance,L2_re_upload,qubit_3_rot,svqx_value,3,0.9141912924865784,0.4322157850342385,descriptive only; n<8
student_performance,L2_re_upload,qubit_4_rot,svqx_value,3,0.890852768595772,0.3569499852593183,descriptive only; n<8
student_performance,L2_re_upload,qubit_5_rot,svqx_value,3,0.8935510583194347,0.36525864173423905,descriptive only; n<8
student_performance,L2_re_upload,qubit_6_rot,svqx_value,3,0.9975540814198588,0.9055070132988339,descriptive only; n<8
student_performance,L2_re_upload,qubit_7_rot,svqx_value,3,0.9674622019701706,0.6535989220081825,descriptive only; n<8
student_performance,L2_re_upload,qubit_8_rot,svqx_value,3,0.8890469493669201,0.351439739192668,descriptive only; n<8
student_performance,L2_re_upload,qubit_9_rot,svqx_value,3,0.9972434864999533,0.899681468850909,descriptive only; n<8
