dataset,configuration,model,attribute,metric,n,statistic,p_value,note
heart_disease,L2_re_upload,RandomForest,overall,aod,3,0.9311169940913496,0.4928057992872673,descriptive only; n<8
heart_disease,L2_re_upload,RandomForest,overall,trace_distance_input,3,0.9993446299337478,0.9511018839405109,descriptive only; n<8
heart_disease,L2_re_upload,RandomForest,overall,qsp_diff_output,3,0.9725871539398918,0.6823251012457454,descriptive only; n<8
heart_disease,L2_re_upload,RandomForest,sex,spd,3,0.8707953435112938,0.2977849092483781,descriptive only; n<8
heart_disease,L2_re_upload,RandomForest,sex,eod,3,0.9994881060088434,0.95678560347611,descriptive only; n<8
heart_disease,L2_re_upload,RandomForest,sex,aod,3,0.7895243512766111,0.08972768710743373,descriptive only; n<8
heart_disease,L2_re_upload,RandomForest,sex,trace_distance_input,3,0.9993446299337478,0.9511018839405109,descriptive only; n<8
heart_disease,L2_re_upload,RandomForest,sex,qsp_diff_output,3,0.9725871539398918,0.6823251012457454,descriptive only; n<8
heart_disease,L2_re_upload,XGBoost_stub,age,spd,3,0.8881875380941632,0.3488311431414579,descriptive only; n<8
heart_disease,L2_re_upload,XGBoost_stub,age,eod,3,0.9541596017913571,0.5879016931940515,descriptive only; n<8
heart_disease,L2_re_upload,XGBoost_stub,age,aod,3,0.9659770963002922,0.6456919362006575,descriptive only; n<8
heart_disease,L2_re_upload,XGBoost_stub,age,trace_distance_input,3,0.9993446299337478,0.9511018839405109,descriptive only; n<8
heart_disease,L2_re_upload,XGBoost_stub,age,qsp_diff_output,3,0.9725871539398918,0.6823251012457454,descriptive only; n<8
heart_disease,L2_re_upload,XGBoost_stub,overall,spd,3,0.8509932193677776,0.24310990534576526,descriptive only; n<8
heart_disease,L2_re_upload,XGBoost_stub,overall,eod,3,0.807935665110704,0.1335876668146896,descriptive only; n<8
heart_disease,L2_re_upload,XGBoost_stub,overall,aod,3,0.8887712061212689,0.35060180794464735,descriptive only; n<8
heart_disease,L2_re_upload,XGBoost_stub,overall,trace_distance_input,3,0.9993446299337478,0.9511018839405109,descriptive only; n<8
heart_disease,L2_re_upload,XGBoost_stub,overall,qsp_diff_output,3,0.9725871539398918,0.6823251012457454,descriptive only; n<8
heart_disease,L2_re_upload,XGBoost_stub,sex,spd,3,0.9748027101035237,0.6955477253844597,descriptive only; n<8
heart_disease,L2_re_upload,XGBoost_stub,sex,eod,3,0.8152801652523987,0.15152458022093618,descriptive only; n<8
heart_disease,L2_re_upload,XGBoost_stub,sex,aod,3,0.9368256680424458,0.5147626889280368,descriptive only; n<8
heart_disease,L2_re_upload,XGBoost_stub,sex,trace_distance_input,3,0.9993446299337478,0.9511018839405109,descriptive only; n<8
heart_disease,L2_re_upload,XGBoost_stub,sex,qsp_diff_output,3,0.9725871539398918,0.6823251012457454,descriptive only; n<8
