,,,,spd,spd,eod,eod,aod,aod,trace_distance_input,trace_distance_input,qsp_diff_output,qsp_diff_output
,,,,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,configuration,model,attribute,,,,,,,,,,
heart_disease,L1_all_to_all,MLP,age,0.006802721088435367,0.011782658554890309,0.010752688172043,0.01862420223192339,0.0053763440860215,0.009312101115961695,0.09378858954186986,0.040929824494863216,0.14758256586660004,0.12388452312229914
heart_disease,L1_all_to_all,MLP,overall,0.010752688172043,0.01862420223192339,0.0144927536231884,0.02510218561694024,0.0072463768115942,0.01255109280847012,0.09378858954186986,0.040929824494863216,0.14758256586660004,0.12388452312229914
heart_disease,L1_all_to_all,MLP,sex,0.005555555555555533,0.009622504486493724,0.0087719298245614,0.015193428136569093,0.0043859649122807,0.0075967140682845465,0.09378858954186986,0.040929824494863216,0.14758256586660004,0.12388452312229914
heart_disease,L1_all_to_all,RandomForest,age,0.04233649499518307,0.06948541671476346,0.11117084826762241,0.1689214584725846,0.037008332365929965,0.08617713908070436,0.09378858954186986,0.040929824494863216,0.14758256586660004,0.12388452312229914
heart_disease,L1_all_to_all,RandomForest,overall,0.0626936395115728,0.07364323629248852,0.04519450800915328,0.04607661015666585,0.041115772523095194,0.07650383300038718,0.09378858954186986,0.040929824494863216,0.14758256586660004,0.12388452312229914
heart_disease,L1_all_to_all,RandomForest,sex,0.038888888888888896,0.03469443332443556,-0.07792397660818717,0.1642813690467099,-0.0008667502088554671,0.01776336048707287,0.09378858954186986,0.040929824494863216,0.14758256586660004,0.12388452312229914
heart_disease,L1_all_to_all,XGBoost_stub,age,0.016491007855952537,0.1761196595383276,0.10630938157819876,0.19243702740204735,0.04993209102044701,0.15772424287396772,0.09378858954186986,0.040929824494863216,0.14758256586660004,0.12388452312229914
heart_disease,L1_all_to_all,XGBoost_stub,overall,0.015855658829961733,0.110280345321233,0.029450437688423967,0.06575469856462782,0.05856859317539113,0.056910710547758876,0.09378858954186986,0.040929824494863216,0.14758256586660004,0.12388452312229914
