dataset,configuration,seed,batch_frac,n_layers,entangle,encoding_strategy,n_qubits,n_params,cnot_count,gate_group,svqx_value,svqx_concentration,entanglement_score,qsalto_a1_estimate
german_credit,L2_linear,7,0.25,2,linear,single,9,36,16,qubit_6_rot,-0.004788961038961,0.3921891585219518,0.3577422489762312,-0.039886474609375
german_credit,L2_linear,7,0.25,2,linear,single,9,36,16,qubit_7_rot,-0.0723575036075039,0.3921891585219518,0.3577422489762312,-0.039886474609375
german_credit,L2_linear,7,0.25,2,linear,single,9,36,16,qubit_8_rot,-0.0135642135642135,0.3921891585219518,0.3577422489762312,-0.039886474609375
german_credit,L2_linear,7,0.25,2,linear,single,9,36,16,entangling_CNOT,-0.1932720057720056,0.3921891585219518,0.3577422489762312,-0.039886474609375
german_credit,L2_linear,17,0.25,2,linear,single,9,36,16,qubit_0_rot,0.0018959435626102,0.3449275362309389,0.4013395368026707,-0.0388870239257812
german_credit,L2_linear,17,0.25,2,linear,single,9,36,16,qubit_1_rot,0.0417548500881834,0.3449275362309389,0.4013395368026707,-0.0388870239257812
german_credit,L2_linear,17,0.25,2,linear,single,9,36,16,qubit_2_rot,-0.0319664902998236,0.3449275362309389,0.4013395368026707,-0.0388870239257812
german_credit,L2_linear,17,0.25,2,linear,single,9,36,16,qubit_3_rot,-0.055136684303351,0.3449275362309389,0.4013395368026707,-0.0388870239257812
german_credit,L2_linear,17,0.25,2,linear,single,9,36,16,qubit_4_rot,-0.0205467372134038,0.3449275362309389,0.4013395368026707,-0.0388870239257812
german_credit,L2_linear,17,0.25,2,linear,single,9,36,16,qubit_5_rot,-0.0340608465608465,0.3449275362309389,0.4013395368026707,-0.0388870239257812
german_credit,L2_linear,17,0.25,2,linear,single,9,36,16,qubit_6_rot,-0.0394620811287478,0.3449275362309389,0.4013395368026707,-0.0388870239257812
german_credit,L2_linear,17,0.25,2,linear,single,9,36,16,qubit_7_rot,-0.0067460317460318,0.3449275362309389,0.4013395368026707,-0.0388870239257812
german_credit,L2_linear,17,0.25,2,linear,single,9,36,16,qubit_8_rot,-0.0075837742504409,0.3449275362309389,0.4013395368026707,-0.0388870239257812
german_credit,L2_linear,17,0.25,2,linear,single,9,36,16,entangling_CNOT,-0.1259259259259258,0.3449275362309389,0.4013395368026707,-0.0388870239257812
german_credit,L2_linear,27,0.25,2,linear,single,9,36,16,qubit_0_rot,0.015015589569161,0.5066488042058275,0.4273022901822725,-0.0377655029296875
german_credit,L2_linear,27,0.25,2,linear,single,9,36,16,qubit_1_rot,-0.0248795351473922,0.5066488042058275,0.4273022901822725,-0.0377655029296875
german_credit,L2_linear,27,0.25,2,linear,single,9,36,16,qubit_2_rot,0.0052154195011337,0.5066488042058275,0.4273022901822725,-0.0377655029296875
german_credit,L2_linear,27,0.25,2,linear,single,9,36,16,qubit_3_rot,0.0087655895691609,0.5066488042058275,0.4273022901822725,-0.0377655029296875
german_credit,L2_linear,27,0.25,2,linear,single,9,36,16,qubit_4_rot,0.0584963151927437,0.5066488042058275,0.4273022901822725,-0.0377655029296875
german_credit,L2_linear,27,0.25,2,linear,single,9,36,16,qubit_5_rot,0.0146400226757369,0.5066488042058275,0.4273022901822725,-0.0377655029296875
german_credit,L2_linear,27,0.25,2,linear,single,9,36,16,qubit_6_rot,-0.0047406462585033,0.5066488042058275,0.4273022901822725,-0.0377655029296875
german_credit,L2_linear,27,0.25,2,linear,single,9,36,16,qubit_7_rot,-0.1447137188208615,0.5066488042058275,0.4273022901822725,-0.0377655029296875
german_credit,L2_linear,27,0.25,2,linear,single,9,36,16,qubit_8_rot,-0.0041950113378684,0.5066488042058275,0.4273022901822725,-0.0377655029296875
german_credit,L2_linear,27,0.25,2,linear,single,9,36,16,entangling_CNOT,0.0049674036281178,0.5066488042058275,0.4273022901822725,-0.0377655029296875
german_credit,L1_all_to_all,7,0.25,1,all_to_all,single,9,18,36,qubit_0_rot,0.0,0.3999999999964801,0.1894903021417455,-0.0457687377929687
german_credit,L1_all_to_all,7,0.25,1,all_to_all,single,9,18,36,qubit_1_rot,0.0,0.3999999999964801,0.1894903021417455,-0.0457687377929687
german_credit,L1_all_to_all,7,0.25,1,all_to_all,single,9,18,36,qubit_2_rot,0.0,0.3999999999964801,0.1894903021417455,-0.0457687377929687
german_credit,L1_all_to_all,7,0.25,1,all_to_all,single,9,18,36,qubit_3_rot,0.0,0.3999999999964801,0.1894903021417455,-0.0457687377929687
german_credit,L1_all_to_all,7,0.25,1,all_to_all,single,9,18,36,qubit_4_rot,0.0,0.3999999999964801,0.1894903021417455,-0.0457687377929687
german_credit,L1_all_to_all,7,0.25,1,all_to_all,single,9,18,36,qubit_5_rot,0.0,0.3999999999964801,0.1894903021417455,-0.0457687377929687
german_credit,L1_all_to_all,7,0.25,1,all_to_all,single,9,18,36,qubit_6_rot,-0.0454545454545454,0.3999999999964801,0.1894903021417455,-0.0457687377929687
german_credit,L1_all_to_all,7,0.25,1,all_to_all,single,9,18,36,qubit_7_rot,-0.0227272727272726,0.3999999999964801,0.1894903021417455,-0.0457687377929687
german_credit,L1_all_to_all,7,0.25,1,all_to_all,single,9,18,36,qubit_8_rot,0.0,0.3999999999964801,0.1894903021417455,-0.0457687377929687
german_credit,L1_all_to_all,7,0.25,1,all_to_all,single,9,18,36,entangling_CNOT,-0.0454545454545454,0.3999999999964801,0.1894903021417455,-0.0457687377929687
german_credit,L1_all_to_all,17,0.25,1,all_to_all,single,9,18,36,qubit_0_rot,0.0,0.4666666666649867,0.2218636055023523,-0.0448684692382812
german_credit,L1_all_to_all,17,0.25,1,all_to_all,single,9,18,36,qubit_1_rot,0.0,0.4666666666649867,0.2218636055023523,-0.0448684692382812
german_credit,L1_all_to_all,17,0.25,1,all_to_all,single,9,18,36,qubit_2_rot,0.0,0.4666666666649867,0.2218636055023523,-0.0448684692382812
german_credit,L1_all_to_all,17,0.25,1,all_to_all,single,9,18,36,qubit_3_rot,0.0,0.4666666666649867,0.2218636055023523,-0.0448684692382812
german_credit,L1_all_to_all,17,0.25,1,all_to_all,single,9,18,36,qubit_4_rot,0.0,0.4666666666649867,0.2218636055023523,-0.0448684692382812
german_credit,L1_all_to_all,17,0.25,1,all_to_all,single,9,18,36,qubit_5_rot,0.0,0.4666666666649867,0.2218636055023523,-0.0448684692382812
german_credit,L1_all_to_all,17,0.25,1,all_to_all,single,9,18,36,qubit_6_rot,-0.1296296296296296,0.4666666666649867,0.2218636055023523,-0.0448684692382812
german_credit,L1_all_to_all,17,0.25,1,all_to_all,single,9,18,36,qubit_7_rot,-0.0185185185185185,0.4666666666649867,0.2218636055023523,-0.0448684692382812
german_credit,L1_all_to_all,17,0.25,1,all_to_all,single,9,18,36,qubit_8_rot,0.0,0.4666666666649867,0.2218636055023523,-0.0448684692382812
german_credit,L1_all_to_all,17,0.25,1,all_to_all,single,9,18,36,entangling_CNOT,-0.1296296296296296,0.4666666666649867,0.2218636055023523,-0.0448684692382812
german_credit,L1_all_to_all,27,0.25,1,all_to_all,single,9,18,36,qubit_0_rot,0.0,0.999999999996706,0.2099577194674781,-0.0449600219726562
german_credit,L1_all_to_all,27,0.25,1,all_to_all,single,9,18,36,qubit_1_rot,0.0,0.999999999996706,0.2099577194674781,-0.0449600219726562
german_credit,L1_all_to_all,27,0.25,1,all_to_all,single,9,18,36,qubit_2_rot,0.0,0.999999999996706,0.2099577194674781,-0.0449600219726562
german_credit,L1_all_to_all,27,0.25,1,all_to_all,single,9,18,36,qubit_3_rot,0.0,0.999999999996706,0.2099577194674781,-0.0449600219726562
german_credit,L1_all_to_all,27,0.25,1,all_to_all,single,9,18,36,qubit_4_rot,0.0,0.999999999996706,0.2099577194674781,-0.0449600219726562
german_credit,L1_all_to_all,27,0.25,1,all_to_all,single,9,18,36,qubit_5_rot,0.0,0.999999999996706,0.2099577194674781,-0.0449600219726562
german_credit,L1_all_to_all,27,0.25,1,all_to_all,single,9,18,36,qubit_6_rot,0.0,0.999999999996706,0.2099577194674781,-0.0449600219726562
german_credit,L1_all_to_all,27,0.25,1,all_to_all,single,9,18,36,qubit_7_rot,-0.3035714285714282,0.999999999996706,0.2099577194674781,-0.0449600219726562
german_credit,L1_all_to_all,27,0.25,1,all_to_all,single,9,18,36,qubit_8_rot,0.0,0.999999999996706,0.2099577194674781,-0.0449600219726562
german_credit,L1_all_to_all,27,0.25,1,all_to_all,single,9,18,36,entangling_CNOT,0.0,0.999999999996706,0.2099577194674781,-0.0449600219726562
german_credit,L2_all_to_all,7,0.25,2,all_to_all,single,9,36,72,qubit_0_rot,0.0,0.2981651376139572,0.3376753485839001,-0.0403900146484375
german_credit,L2_all_to_all,7,0.25,2,all_to_all,single,9,36,72,qubit_1_rot,0.0,0.2981651376139572,0.3376753485839001,-0.0403900146484375
german_credit,L2_all_to_all,7,0.25,2,all_to_all,single,9,36,72,qubit_2_rot,0.0,0.2981651376139572,0.3376753485839001,-0.0403900146484375
german_credit,L2_all_to_all,7,0.25,2,all_to_all,single,9,36,72,qubit_3_rot,0.0,0.2981651376139572,0.3376753485839001,-0.0403900146484375
german_credit,L2_all_to_all,7,0.25,2,all_to_all,single,9,36,72,qubit_4_rot,0.0,0.2981651376139572,0.3376753485839001,-0.0403900146484375
german_credit,L2_all_to_all,7,0.25,2,all_to_all,single,9,36,72,qubit_5_rot,-0.0321969696969696,0.2981651376139572,0.3376753485839001,-0.0403900146484375
german_credit,L2_all_to_all,7,0.25,2,all_to_all,single,9,36,72,qubit_6_rot,0.115530303030303,0.2981651376139572,0.3376753485839001,-0.0403900146484375
german_credit,L2_all_to_all,7,0.25,2,all_to_all,single,9,36,72,qubit_7_rot,-0.1231060606060608,0.2981651376139572,0.3376753485839001,-0.0403900146484375
german_credit,L2_all_to_all,7,0.25,2,all_to_all,single,9,36,72,qubit_8_rot,-0.0303030303030303,0.2981651376139572,0.3376753485839001,-0.0403900146484375
german_credit,L2_all_to_all,7,0.25,2,all_to_all,single,9,36,72,entangling_CNOT,-0.1117424242424242,0.2981651376139572,0.3376753485839001,-0.0403900146484375
german_credit,L2_all_to_all,17,0.25,2,all_to_all,single,9,36,72,qubit_0_rot,0.0,0.4444444444431115,0.3064388949712917,-0.0420684814453125
german_credit,L2_all_to_all,17,0.25,2,all_to_all,single,9,36,72,qubit_1_rot,0.0,0.4444444444431115,0.3064388949712917,-0.0420684814453125
german_credit,L2_all_to_all,17,0.25,2,all_to_all,single,9,36,72,qubit_2_rot,0.0,0.4444444444431115,0.3064388949712917,-0.0420684814453125
german_credit,L2_all_to_all,17,0.25,2,all_to_all,single,9,36,72,qubit_3_rot,0.0,0.4444444444431115,0.3064388949712917,-0.0420684814453125
german_credit,L2_all_to_all,17,0.25,2,all_to_all,single,9,36,72,qubit_4_rot,0.0,0.4444444444431115,0.3064388949712917,-0.0420684814453125
german_credit,L2_all_to_all,17,0.25,2,all_to_all,single,9,36,72,qubit_5_rot,-9.251858538542977e-18,0.4444444444431115,0.3064388949712917,-0.0420684814453125
german_credit,L2_all_to_all,17,0.25,2,all_to_all,single,9,36,72,qubit_6_rot,-0.0925925925925926,0.4444444444431115,0.3064388949712917,-0.0420684814453125
german_credit,L2_all_to_all,17,0.25,2,all_to_all,single,9,36,72,qubit_7_rot,-0.1481481481481484,0.4444444444431115,0.3064388949712917,-0.0420684814453125
german_credit,L2_all_to_all,17,0.25,2,all_to_all,single,9,36,72,qubit_8_rot,0.0,0.4444444444431115,0.3064388949712917,-0.0420684814453125
german_credit,L2_all_to_all,17,0.25,2,all_to_all,single,9,36,72,entangling_CNOT,-0.0925925925925926,0.4444444444431115,0.3064388949712917,-0.0420684814453125
german_credit,L2_all_to_all,27,0.25,2,all_to_all,single,9,36,72,qubit_0_rot,0.0,0.4736842105252684,0.4027849812921459,-0.0383071899414062
german_credit,L2_all_to_all,27,0.25,2,all_to_all,single,9,36,72,qubit_1_rot,0.0,0.4736842105252684,0.4027849812921459,-0.0383071899414062
german_credit,L2_all_to_all,27,0.25,2,all_to_all,single,9,36,72,qubit_2_rot,0.0,0.4736842105252684,0.4027849812921459,-0.0383071899414062
german_credit,L2_all_to_all,27,0.25,2,all_to_all,single,9,36,72,qubit_3_rot,0.0,0.4736842105252684,0.4027849812921459,-0.0383071899414062
german_credit,L2_all_to_all,27,0.25,2,all_to_all,single,9,36,72,qubit_4_rot,0.0,0.4736842105252684,0.4027849812921459,-0.0383071899414062
german_credit,L2_all_to_all,27,0.25,2,all_to_all,single,9,36,72,qubit_5_rot,0.0,0.4736842105252684,0.4027849812921459,-0.0383071899414062
german_credit,L2_all_to_all,27,0.25,2,all_to_all,single,9,36,72,qubit_6_rot,0.1369047619047619,0.4736842105252684,0.4027849812921459,-0.0383071899414062
german_credit,L2_all_to_all,27,0.25,2,all_to_all,single,9,36,72,qubit_7_rot,-0.214285714285714,0.4736842105252684,0.4027849812921459,-0.0383071899414062
german_credit,L2_all_to_all,27,0.25,2,all_to_all,single,9,36,72,qubit_8_rot,-0.0119047619047619,0.4736842105252684,0.4027849812921459,-0.0383071899414062
german_credit,L2_all_to_all,27,0.25,2,all_to_all,single,9,36,72,entangling_CNOT,0.0892857142857143,0.4736842105252684,0.4027849812921459,-0.0383071899414062
german_credit,L2_re_upload,7,0.25,2,linear,re_upload,9,36,16,qubit_0_rot,-0.0299603174603174,0.3848690095841191,0.343173235724641,-0.0411148071289062
german_credit,L2_re_upload,7,0.25,2,linear,re_upload,9,36,16,qubit_1_rot,0.030050505050505,0.3848690095841191,0.343173235724641,-0.0411148071289062
german_credit,L2_re_upload,7,0.25,2,linear,re_upload,9,36,16,qubit_2_rot,-0.0339375901875901,0.3848690095841191,0.343173235724641,-0.0411148071289062
german_credit,L2_re_upload,7,0.25,2,linear,re_upload,9,36,16,qubit_3_rot,-0.0359397546897546,0.3848690095841191,0.343173235724641,-0.0411148071289062
german_credit,L2_re_upload,7,0.25,2,linear,re_upload,9,36,16,qubit_4_rot,-0.0698322510822511,0.3848690095841191,0.343173235724641,-0.0411148071289062
german_credit,L2_re_upload,7,0.25,2,linear,re_upload,9,36,16,qubit_5_rot,0.0046266233766233,0.3848690095841191,0.343173235724641,-0.0411148071289062
german_credit,L2_re_upload,7,0.25,2,linear,re_upload,9,36,16,qubit_6_rot,-0.0090458152958152,0.3848690095841191,0.343173235724641,-0.0411148071289062
german_credit,L2_re_upload,7,0.25,2,linear,re_upload,9,36,16,qubit_7_rot,-0.0973394660894661,0.3848690095841191,0.343173235724641,-0.0411148071289062
german_credit,L2_re_upload,7,0.25,2,linear,re_upload,9,36,16,qubit_8_rot,-0.1233766233766233,0.3848690095841191,0.343173235724641,-0.0411148071289062
german_credit,L2_re_upload,7,0.25,2,linear,re_upload,9,36,16,entangling_CNOT,-0.2716089466089465,0.3848690095841191,0.343173235724641,-0.0411148071289062
german_credit,L2_re_upload,17,0.25,2,linear,re_upload,9,36,16,qubit_0_rot,0.0119929453262786,0.4778119237847782,0.3828602373368286,-0.0394744873046875
german_credit,L2_re_upload,17,0.25,2,linear,re_upload,9,36,16,qubit_1_rot,0.0272927689594356,0.4778119237847782,0.3828602373368286,-0.0394744873046875
german_credit,L2_re_upload,17,0.25,2,linear,re_upload,9,36,16,qubit_2_rot,0.0110449735449735,0.4778119237847782,0.3828602373368286,-0.0394744873046875
german_credit,L2_re_upload,17,0.25,2,linear,re_upload,9,36,16,qubit_3_rot,-0.0079585537918871,0.4778119237847782,0.3828602373368286,-0.0394744873046875
german_credit,L2_re_upload,17,0.25,2,linear,re_upload,9,36,16,qubit_4_rot,0.0041666666666666,0.4778119237847782,0.3828602373368286,-0.0394744873046875
german_credit,L2_re_upload,17,0.25,2,linear,re_upload,9,36,16,qubit_5_rot,0.0278439153439153,0.4778119237847782,0.3828602373368286,-0.0394744873046875
german_credit,L2_re_upload,17,0.25,2,linear,re_upload,9,36,16,qubit_6_rot,0.0241622574955908,0.4778119237847782,0.3828602373368286,-0.0394744873046875
german_credit,L2_re_upload,17,0.25,2,linear,re_upload,9,36,16,qubit_7_rot,0.0670414462081128,0.4778119237847782,0.3828602373368286,-0.0394744873046875
german_credit,L2_re_upload,17,0.25,2,linear,re_upload,9,36,16,qubit_8_rot,0.0057980599647266,0.4778119237847782,0.3828602373368286,-0.0394744873046875
german_credit,L2_re_upload,17,0.25,2,linear,re_upload,9,36,16,entangling_CNOT,-0.1713844797178137,0.4778119237847782,0.3828602373368286,-0.0394744873046875
german_credit,L2_re_upload,27,0.25,2,linear,re_upload,9,36,16,qubit_0_rot,0.0188988095238095,0.5680076628336157,0.4326792383856588,-0.03765869140625
german_credit,L2_re_upload,27,0.25,2,linear,re_upload,9,36,16,qubit_1_rot,0.0114583333333333,0.5680076628336157,0.4326792383856588,-0.03765869140625
german_credit,L2_re_upload,27,0.25,2,linear,re_upload,9,36,16,qubit_2_rot,0.0001913265306122,0.5680076628336157,0.4326792383856588,-0.03765869140625
german_credit,L2_re_upload,27,0.25,2,linear,re_upload,9,36,16,qubit_3_rot,-0.0212443310657596,0.5680076628336157,0.4326792383856588,-0.03765869140625
german_credit,L2_re_upload,27,0.25,2,linear,re_upload,9,36,16,qubit_4_rot,-0.0386692176870747,0.5680076628336157,0.4326792383856588,-0.03765869140625
german_credit,L2_re_upload,27,0.25,2,linear,re_upload,9,36,16,qubit_5_rot,0.0361607142857142,0.5680076628336157,0.4326792383856588,-0.03765869140625
german_credit,L2_re_upload,27,0.25,2,linear,re_upload,9,36,16,qubit_6_rot,-0.0038619614512471,0.5680076628336157,0.4326792383856588,-0.03765869140625
german_credit,L2_re_upload,27,0.25,2,linear,re_upload,9,36,16,qubit_7_rot,-0.0054280045351473,0.5680076628336157,0.4326792383856588,-0.03765869140625
german_credit,L2_re_upload,27,0.25,2,linear,re_upload,9,36,16,qubit_8_rot,-0.0142928004535147,0.5680076628336157,0.4326792383856588,-0.03765869140625
german_credit,L2_re_upload,27,0.25,2,linear,re_upload,9,36,16,entangling_CNOT,-0.19749858276644,0.5680076628336157,0.4326792383856588,-0.03765869140625
german_credit,L2_all_to_all_re_upload,7,0.25,2,all_to_all,re_upload,9,36,72,qubit_0_rot,0.0,0.371890547262461,0.3385843067180123,-0.0405731201171875
german_credit,L2_all_to_all_re_upload,7,0.25,2,all_to_all,re_upload,9,36,72,qubit_1_rot,0.0,0.371890547262461,0.3385843067180123,-0.0405731201171875
german_credit,L2_all_to_all_re_upload,7,0.25,2,all_to_all,re_upload,9,36,72,qubit_2_rot,0.0,0.371890547262461,0.3385843067180123,-0.0405731201171875
german_credit,L2_all_to_all_re_upload,7,0.25,2,all_to_all,re_upload,9,36,72,qubit_3_rot,0.0,0.371890547262461,0.3385843067180123,-0.0405731201171875
german_credit,L2_all_to_all_re_upload,7,0.25,2,all_to_all,re_upload,9,36,72,qubit_4_rot,0.0,0.371890547262461,0.3385843067180123,-0.0405731201171875
german_credit,L2_all_to_all_re_upload,7,0.25,2,all_to_all,re_upload,9,36,72,qubit_5_rot,0.0231060606060606,0.371890547262461,0.3385843067180123,-0.0405731201171875
german_credit,L2_all_to_all_re_upload,7,0.25,2,all_to_all,re_upload,9,36,72,qubit_6_rot,0.0950757575757575,0.371890547262461,0.3385843067180123,-0.0405731201171875
german_credit,L2_all_to_all_re_upload,7,0.25,2,all_to_all,re_upload,9,36,72,qubit_7_rot,-0.0261363636363636,0.371890547262461,0.3385843067180123,-0.0405731201171875
german_credit,L2_all_to_all_re_upload,7,0.25,2,all_to_all,re_upload,9,36,72,qubit_8_rot,-0.0469696969696969,0.371890547262461,0.3385843067180123,-0.0405731201171875
german_credit,L2_all_to_all_re_upload,7,0.25,2,all_to_all,re_upload,9,36,72,entangling_CNOT,-0.1132575757575759,0.371890547262461,0.3385843067180123,-0.0405731201171875
german_credit,L2_all_to_all_re_upload,17,0.25,2,all_to_all,re_upload,9,36,72,qubit_0_rot,0.0,0.3846153846137863,0.2249587974999571,-0.0447311401367187
german_credit,L2_all_to_all_re_upload,17,0.25,2,all_to_all,re_upload,9,36,72,qubit_1_rot,0.0,0.3846153846137863,0.2249587974999571,-0.0447311401367187
german_credit,L2_all_to_all_re_upload,17,0.25,2,all_to_all,re_upload,9,36,72,qubit_2_rot,0.0,0.3846153846137863,0.2249587974999571,-0.0447311401367187
german_credit,L2_all_to_all_re_upload,17,0.25,2,all_to_all,re_upload,9,36,72,qubit_3_rot,0.0,0.3846153846137863,0.2249587974999571,-0.0447311401367187
german_credit,L2_all_to_all_re_upload,17,0.25,2,all_to_all,re_upload,9,36,72,qubit_4_rot,0.0,0.3846153846137863,0.2249587974999571,-0.0447311401367187
