,L1_all_to_all,L1_linear,L2_all_to_all,L2_all_to_all_re_upload,L2_linear,L2_re_upload
L1_all_to_all,1.0,0.9497712193634843,0.1305700181157362,0.6142946646634823,0.3447042220069575,0.10145381261420756
L1_linear,0.9497712193634843,1.0,0.11529061707139364,0.5707503880581739,0.31349994558358807,0.08897301170181333
L2_all_to_all,0.1305700181157362,0.11529061707139364,1.0,0.31349994558358807,0.5707503880581739,0.8997412986871713
L2_all_to_all_re_upload,0.6142946646634823,0.5707503880581739,0.31349994558358807,1.0,0.6592430036926307,0.25683925795785656
L2_linear,0.3447042220069575,0.31349994558358807,0.5707503880581739,0.6592430036926307,1.0,0.4883504271844812
L2_re_upload,0.10145381261420756,0.08897301170181333,0.8997412986871713,0.25683925795785656,0.4883504271844812,1.0
