,L1_all_to_all,L1_linear,L2_all_to_all,L2_all_to_all_re_upload,L2_linear,L2_re_upload
L1_all_to_all,1.0,0.00015705228423075165,0.25683925795785656,1.0,0.00015705228423075165,0.00015705228423075165
L1_linear,0.00015705228423075165,1.0,0.0081509715935027,0.00015705228423075165,1.0,1.0
L2_all_to_all,0.25683925795785656,0.0081509715935027,1.0,0.25683925795785656,0.0081509715935027,0.0081509715935027
L2_all_to_all_re_upload,1.0,0.00015705228423075165,0.25683925795785656,1.0,0.00015705228423075165,0.00015705228423075165
L2_linear,0.00015705228423075165,1.0,0.0081509715935027,0.00015705228423075165,1.0,1.0
L2_re_upload,0.00015705228423075165,1.0,0.0081509715935027,0.00015705228423075165,1.0,1.0
