,L1_all_to_all,L1_linear,L2_all_to_all,L2_all_to_all_re_upload,L2_linear,L2_re_upload
L1_all_to_all,1.0,0.027468640385681316,0.5287333251214302,0.377821637100064,0.6592430036926307,0.25683925795785656
L1_linear,0.027468640385681316,1.0,0.11529061707139349,0.18587673236587576,0.0777598964393294,0.2842146925863074
L2_all_to_all,0.5287333251214302,0.11529061707139349,1.0,0.8010593708697095,0.850106739138526,0.6142946646634823
L2_all_to_all_re_upload,0.377821637100064,0.18587673236587576,0.8010593708697095,1.0,0.6592430036926307,0.8010593708697095
L2_linear,0.6592430036926307,0.0777598964393294,0.850106739138526,0.6592430036926307,1.0,0.4883504271844812
L2_re_upload,0.25683925795785656,0.2842146925863074,0.6142946646634823,0.8010593708697095,0.4883504271844812,1.0
