,,,,spd,spd,eod,eod,aod,aod,trace_distance_input,trace_distance_input,qsp_diff_output,qsp_diff_output
,,,,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,configuration,model,attribute,,,,,,,,,,
student_performance,L1_all_to_all,MLP,age,0.0004492961306504003,0.0136818422714796,-0.007811523559555034,0.013529955689670607,0.018562510688494932,0.053805634152849786,0.12150087675352961,0.12063434392987482,0.016576137717685666,0.004235041209533105
student_performance,L1_all_to_all,MLP,overall,-0.005692765808372733,0.009185991594116167,0.04582355019012194,0.06335435231412012,-0.048516796333510394,0.05457667126253732,0.12150087675352961,0.12063434392987482,0.016576137717685666,0.004235041209533105
student_performance,L1_all_to_all,MLP,sex,0.0021046122741037987,0.0373894039702957,0.015598290598290598,0.042888080679688426,-0.026245241686418133,0.05149647376323474,0.12150087675352961,0.12063434392987482,0.016576137717685666,0.004235041209533105
student_performance,L1_all_to_all,RandomForest,age,0.0066146442810904316,0.10452356345401412,0.0399995909473312,0.08242076723695523,-0.061141285667415536,0.13733193760525764,0.12150087675352961,0.12063434392987482,0.016576137717685666,0.004235041209533105
student_performance,L1_all_to_all,RandomForest,overall,0.04799439481520407,0.12048919390616886,0.08325957016504937,0.042267947090502085,-0.01134640539366577,0.19667247262854248,0.12150087675352961,0.12063434392987482,0.016576137717685666,0.004235041209533105
student_performance,L1_all_to_all,RandomForest,sex,0.040500924240908974,0.11607768291094664,0.040915691643847,0.10443145986142754,0.028986898468623196,0.15576333678686322,0.12150087675352961,0.12063434392987482,0.016576137717685666,0.004235041209533105
student_performance,L1_all_to_all,XGBoost_stub,age,0.05021000062271763,0.1400007795404036,0.03556468259611103,0.1429359223863632,0.08689841041412462,0.1329821607283161,0.12150087675352961,0.12063434392987482,0.016576137717685666,0.004235041209533105
student_performance,L1_all_to_all,XGBoost_stub,overall,0.0627955859169732,0.12311775390721459,0.04784857425838579,0.1198354264819035,0.08979730300220877,0.14214789891237314,0.12150087675352961,0.12063434392987482,0.016576137717685666,0.004235041209533105
