dataset,configuration,model,attribute,metric,n,statistic,p_value,note
student_performance,L1_linear,MLP,age,trace_distance_input,3,0.8757224364081058,0.3119282118246586,descriptive only; n<8
student_performance,L1_linear,MLP,age,qsp_diff_output,3,0.7697123662263995,0.04407477457838693,descriptive only; n<8
student_performance,L1_linear,MLP,overall,spd,3,0.9575842544325072,0.6038278146932983,descriptive only; n<8
student_performance,L1_linear,MLP,overall,eod,3,0.9550496066936901,0.5919844280680386,descriptive only; n<8
student_performance,L1_linear,MLP,overall,aod,3,0.9944082849075508,0.8570515437721182,descriptive only; n<8
student_performance,L1_linear,MLP,overall,trace_distance_input,3,0.8757224364081058,0.3119282118246586,descriptive only; n<8
student_performance,L1_linear,MLP,overall,qsp_diff_output,3,0.7697123662263995,0.04407477457838693,descriptive only; n<8
student_performance,L1_linear,MLP,sex,spd,3,0.8096501957751313,0.13775105564892665,descriptive only; n<8
student_performance,L1_linear,MLP,sex,eod,3,0.8459488272921121,0.22967521703806393,descriptive only; n<8
student_performance,L1_linear,MLP,sex,aod,3,0.7736348114531129,0.05299830980391318,descriptive only; n<8
student_performance,L1_linear,MLP,sex,trace_distance_input,3,0.8757224364081058,0.3119282118246586,descriptive only; n<8
student_performance,L1_linear,MLP,sex,qsp_diff_output,3,0.7697123662263995,0.04407477457838693,descriptive only; n<8
student_performance,L1_linear,RandomForest,age,spd,3,0.9123825388497193,0.42607801730817596,descriptive only; n<8
student_performance,L1_linear,RandomForest,age,eod,3,0.9409817301371524,0.531335485351475,descriptive only; n<8
student_performance,L1_linear,RandomForest,age,aod,3,0.9100993462118018,0.4184114762271418,descriptive only; n<8
student_performance,L1_linear,RandomForest,age,trace_distance_input,3,0.8757224364081058,0.3119282118246586,descriptive only; n<8
student_performance,L1_linear,RandomForest,age,qsp_diff_output,3,0.7697123662263995,0.04407477457838693,descriptive only; n<8
student_performance,L1_linear,RandomForest,overall,spd,3,0.8161562638677978,0.153682391041303,descriptive only; n<8
student_performance,L1_linear,RandomForest,overall,eod,3,0.7981497670710873,0.11008880813688493,descriptive only; n<8
student_performance,L1_linear,RandomForest,overall,aod,3,0.7579653981226295,0.017661516955893686,descriptive only; n<8
student_performance,L1_linear,RandomForest,overall,trace_distance_input,3,0.8757224364081058,0.3119282118246586,descriptive only; n<8
student_performance,L1_linear,RandomForest,overall,qsp_diff_output,3,0.7697123662263995,0.04407477457838693,descriptive only; n<8
student_performance,L1_linear,RandomForest,sex,spd,3,0.8637969092189849,0.2780842138399574,descriptive only; n<8
student_performance,L1_linear,RandomForest,sex,eod,3,0.9421795237894841,0.5362124732480265,descriptive only; n<8
student_performance,L1_linear,RandomForest,sex,aod,3,0.7851131474762452,0.07943345826561654,descriptive only; n<8
student_performance,L1_linear,RandomForest,sex,trace_distance_input,3,0.8757224364081058,0.3119282118246586,descriptive only; n<8
student_performance,L1_linear,RandomForest,sex,qsp_diff_output,3,0.7697123662263995,0.04407477457838693,descriptive only; n<8
student_performance,L1_linear,XGBoost_stub,age,spd,3,0.9999410408017889,0.9853350215258763,descriptive only; n<8
student_performance,L1_linear,XGBoost_stub,age,eod,3,0.9052201850046765,0.4023163182348557,descriptive only; n<8
student_performance,L1_linear,XGBoost_stub,age,aod,3,0.8805901867325209,0.32613946321197007,descriptive only; n<8
student_performance,L1_linear,XGBoost_stub,age,trace_distance_input,3,0.8757224364081058,0.3119282118246586,descriptive only; n<8
student_performance,L1_linear,XGBoost_stub,age,qsp_diff_output,3,0.7697123662263995,0.04407477457838693,descriptive only; n<8
student_performance,L1_linear,XGBoost_stub,overall,spd,3,0.7820812938923176,0.07240266832954956,descriptive only; n<8
student_performance,L1_linear,XGBoost_stub,overall,eod,3,0.9987860649212346,0.9334440303505442,descriptive only; n<8
student_performance,L1_linear,XGBoost_stub,overall,aod,3,0.9252563284813597,0.47112454380367397,descriptive only; n<8
student_performance,L1_linear,XGBoost_stub,overall,trace_distance_input,3,0.8757224364081058,0.3119282118246586,descriptive only; n<8
student_performance,L1_linear,XGBoost_stub,overall,qsp_diff_output,3,0.7697123662263995,0.04407477457838693,descriptive only; n<8
student_performance,L1_linear,XGBoost_stub,sex,spd,3,0.9646631744518431,0.6388341241325743,descriptive only; n<8
student_performance,L1_linear,XGBoost_stub,sex,eod,3,0.9117321574119377,0.4238850640790083,descriptive only; n<8
student_performance,L1_linear,XGBoost_stub,sex,aod,3,0.9654885455133115,0.6431273569553144,descriptive only; n<8
student_performance,L1_linear,XGBoost_stub,sex,trace_distance_input,3,0.8757224364081058,0.3119282118246586,descriptive only; n<8
student_performance,L1_linear,XGBoost_stub,sex,qsp_diff_output,3,0.7697123662263995,0.04407477457838693,descriptive only; n<8
student_performance,L2_all_to_all,MLP,age,spd,3,0.9917770917489401,0.826575242204572,descriptive only; n<8
student_performance,L2_all_to_all,MLP,age,eod,3,0.9955887251340895,0.8730586087284065,descriptive only; n<8
student_performance,L2_all_to_all,MLP,age,aod,3,0.9779447290918634,0.7153133780986596,descriptive only; n<8
student_performance,L2_all_to_all,MLP,age,trace_distance_input,3,0.9042860254487646,0.3992775105427021,descriptive only; n<8
student_performance,L2_all_to_all,MLP,age,qsp_diff_output,3,0.9999955814667166,0.9959854140265599,descriptive only; n<8
