,L1_all_to_all,L1_linear,L2_all_to_all,L2_all_to_all_re_upload,L2_linear,L2_re_upload
L1_all_to_all,1.0,0.08085559837005228,0.27523352407483437,0.12663045794761718,0.00882876095281863,0.00455634980318514
L1_linear,0.08085559837005228,1.0,0.5126907602619235,0.8272593465627115,0.38273308888522595,0.27523352407483437
L2_all_to_all,0.27523352407483437,0.5126907602619235,1.0,0.6625205835400574,0.12663045794761718,0.08085559837005228
L2_all_to_all_re_upload,0.12663045794761718,0.8272593465627115,0.6625205835400574,1.0,0.27523352407483437,0.1904302638255242
L2_linear,0.00882876095281863,0.38273308888522595,0.12663045794761718,0.27523352407483437,1.0,0.8272593465627115
L2_re_upload,0.00455634980318514,0.27523352407483437,0.08085559837005228,0.1904302638255242,0.8272593465627115,1.0
