,L1_all_to_all,L1_linear,L2_all_to_all,L2_all_to_all_re_upload,L2_linear,L2_re_upload
L1_all_to_all,1.0,0.31349994558358807,0.31349994558358807,0.3447042220069575,0.8010593708697095,0.2842146925863074
L1_linear,0.31349994558358807,1.0,0.04381979280267483,0.9497712193634843,0.4496917979688909,0.949771219363484
L2_all_to_all,0.31349994558358807,0.04381979280267483,1.0,0.05084134932605777,0.20771208572755673,0.03763531378731424
L2_all_to_all_re_upload,0.3447042220069575,0.9497712193634843,0.05084134932605777,1.0,0.4883504271844812,0.8997412986871713
L2_linear,0.8010593708697095,0.4496917979688909,0.20771208572755673,0.4883504271844812,1.0,0.41283033237814337
L2_re_upload,0.2842146925863074,0.949771219363484,0.03763531378731424,0.8997412986871713,0.41283033237814337,1.0
